,AGE,SEX,PAY_6,PAY_4,PAY_5,PAY_2,PAY_3,PAY_0,BILL_AMT5,BILL_AMT4,BILL_AMT6,LIMIT_BAL,BILL_AMT3,BILL_AMT2,PAY_AMT6,PAY_AMT5,PAY_AMT4,PAY_AMT3,PAY_AMT2,PAY_AMT1,BILL_AMT1,MARRIAGE,EDUCATION,ks,ks_validation1,c
30,0.0,0.0,0.164339581354,0.104618080307,0.197922223928,0.0540223874014,0.190555895394,0.735245957745,0.0,0.0,0.0,0.385186984634,0.0,0.0,0.0881810015791,0.0564837267092,0.0847360663164,0.251556233816,0.224196324515,0.201011121267,0.0,0.0,0.0,0.410485537014,0.410485537014,0.020309176209
31,0.0,0.0,0.193997287053,0.125071004513,0.170761438999,0.057079441079,0.179471697297,0.736034126072,0.0,0.0,0.0,0.392208301172,0.0,0.0,0.0917821289357,0.0488226484647,0.10927256413,0.246187956736,0.22975398901,0.19400094125,0.0,0.0453417137284,0.0,0.410438247061,0.410438247061,0.0242446201708
32,0.0,0.0874612624528,0.216040200625,0.115198811783,0.160017759062,0.0516760009945,0.194894742792,0.734460194241,0.0,0.0,0.0,0.395134268867,-0.0391328788524,0.0,0.0899949566552,0.0328152635463,0.133677971961,0.254246955996,0.223432063632,0.201885687546,0.0,0.230482779416,0.0208022195611,0.411864840206,0.411864840206,0.0289426612472
33,0.0,0.19378995231,0.20235787618,0.142723321159,0.16096157203,0.0652554740266,0.170341090384,0.733841806747,0.0,0.0,0.0,0.398494361102,-0.106399774379,0.0,0.0942807722138,0.0506397210927,0.129912413901,0.234845315902,0.245999977082,0.198848543316,0.0,0.381298404274,0.0457637213993,0.41247744246,0.41247744246,0.0345510729459
34,0.0,0.285909935548,0.204064712258,0.11399341731,0.176403876154,0.0343887959881,0.206201685725,0.744642239787,0.0,0.0,0.0,0.404443160726,-0.174080852842,0.0,0.100415601746,0.0550035582416,0.122488035359,0.257802256993,0.221148844237,0.225426346513,0.0,0.508909505931,0.0678634025204,0.411407342806,0.411407342806,0.041246263829
35,0.0,0.358469074253,0.203551097327,0.153379427007,0.156121264274,0.0627192762358,0.169988459235,0.736258726161,0.0294223507825,0.0,0.0,0.407658990758,-0.238115080374,0.0,0.0999428037872,0.0629370583438,0.133457233264,0.235447199943,0.254156648789,0.21172275853,0.0,0.618752771403,0.075032348045,0.413123093503,0.413123093503,0.0492388263171
36,0.0,0.419332459939,0.197504292714,0.115920999818,0.187740990815,0.0569019116896,0.189930020601,0.734702079844,0.0538620770175,0.0,0.0,0.409005375039,-0.294352211268,0.0,0.0995273603262,0.0668966572009,0.125537517875,0.260414014389,0.236493451523,0.21755407643,0.0,0.707530627509,0.0968559840655,0.413236326238,0.413236326238,0.0587801607227
37,0.0,0.471798248443,0.202533622013,0.122753013628,0.182986856217,0.0468627296432,0.185324681308,0.738140071168,0.0803520090076,0.0247046539329,0.0,0.411689774247,-0.352992888749,0.0,0.106995175585,0.0614189297195,0.118945506909,0.260580239869,0.246609481689,0.219666553649,0.0,0.783411510487,0.106606786651,0.412865436787,0.412865436787,0.070170382867
38,0.0448526845132,0.516485604638,0.227232896905,0.145560016036,0.142775219674,0.0448946491581,0.181708133623,0.737221654981,0.0932828595368,0.0560296809337,0.0,0.413418511405,-0.389847705623,0.0,0.11519533835,0.0287863315526,0.153251325085,0.236038892759,0.250109619161,0.230689628127,-0.036457640081,0.840689149607,0.117625243537,0.412991207939,0.412991207939,0.0837677640068
39,0.0786455249547,0.556021094711,0.213410625248,0.130869151118,0.160267896965,0.0294270380661,0.205303396498,0.743966085501,0.0939336966641,0.0810061345191,0.0,0.413442624614,-0.429957063265,0.0,0.102282658045,0.0696008985302,0.139756987732,0.23789218004,0.227816906765,0.251184982137,-0.0505559245511,0.892865510075,0.122024039473,0.412560490119,0.412560490119,0.1
